"","ID","GB_ACC","Species Scientific Name","Gene Symbol","ENTREZ_GENE_ID","Gene Title"
"1","1007_s_at","U48705","Homo sapiens","DDR1","780","discoidin domain receptor tyrosine kinase 1"
"2","1053_at","M87338","Homo sapiens","RFC2","5982","replication factor C (activator 1) 2, 40kDa"
"3","117_at","X51757","Homo sapiens","HSPA6","3310","heat shock 70kDa protein 6 (HSP70B')"
"4","121_at","X69699","Homo sapiens","PAX8","7849","paired box 8"
"5","1255_g_at","L36861","Homo sapiens","GUCA1A","2978","guanylate cyclase activator 1A (retina)"
"6","1294_at","L13852","Homo sapiens","UBA7","7318","ubiquitin-like modifier activating enzyme 7"
"7","1316_at","X55005","Homo sapiens","THRA","7067","thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)"
"8","1320_at","X79510","Homo sapiens","PTPN21","11099","protein tyrosine phosphatase, non-receptor type 21"
"9","1405_i_at","M21121","Homo sapiens","CCL5","6352","chemokine (C-C motif) ligand 5"
"10","1431_at","J02843","Homo sapiens","CYP2E1","1571","cytochrome P450, family 2, subfamily E, polypeptide 1"
"11","1438_at","X75208","Homo sapiens","EPHB3","2049","EPH receptor B3"
"12","1487_at","L38487","Homo sapiens","ESRRA","2101","estrogen-related receptor alpha"
"13","1494_f_at","M33318","Homo sapiens","CYP2A6","1548","cytochrome P450, family 2, subfamily A, polypeptide 6"
"14","1598_g_at","L13720","Homo sapiens","GAS6","2621","growth arrest-specific 6"
"15","160020_at","Z48481","Homo sapiens","MMP14","4323","matrix metallopeptidase 14 (membrane-inserted)"
"16","1729_at","L41690","Homo sapiens","TRADD","8717","TNFRSF1A-associated via death domain"
"17","1773_at","L00635","Homo sapiens","FNTB","2342","farnesyltransferase, CAAX box, beta"
"18","177_at","U38545","Homo sapiens","PLD1","5337","phospholipase D1, phosphatidylcholine-specific"
"19","179_at","U38980","Homo sapiens","PMS2P11","441263","postmeiotic segregation increased 2 pseudogene 11"
"20","1861_at","U66879","Homo sapiens","BAD","572","BCL2-associated agonist of cell death"
"21","200000_s_at","NM_006445","Homo sapiens","PRPF8","10594","PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae)"
"22","200001_at","NM_001749","Homo sapiens","CAPNS1","826","calpain, small subunit 1"
"23","200002_at","NM_007209","Homo sapiens","RPL35","11224","ribosomal protein L35"
"24","200003_s_at","NM_000991","Homo sapiens","RPL28","6158","ribosomal protein L28"
"25","200004_at","NM_001418","Homo sapiens","EIF4G2","1982","eukaryotic translation initiation factor 4 gamma, 2"
"26","200005_at","NM_003753","Homo sapiens","EIF3D","8664","eukaryotic translation initiation factor 3, subunit D"
"27","200006_at","NM_007262","Homo sapiens","PARK7","11315","Parkinson disease (autosomal recessive, early onset) 7"
"28","200007_at","NM_003134","Homo sapiens","SRP14","6727","signal recognition particle 14kDa (homologous Alu RNA binding protein)"
"29","200008_s_at","D13988","Homo sapiens","GDI2","2665","GDP dissociation inhibitor 2"
"30","200009_at","NM_001494","Homo sapiens","GDI2","2665","GDP dissociation inhibitor 2"
"31","200010_at","NM_000975","Homo sapiens","RPL11","6135","ribosomal protein L11"
"32","200011_s_at","NM_001659","Homo sapiens","ARF3","377","ADP-ribosylation factor 3"
"33","200012_x_at","NM_000982","Homo sapiens","RPL21","6144","ribosomal protein L21"
"34","200013_at","NM_000986","Homo sapiens","RPL24","6152","ribosomal protein L24"
"35","200014_s_at","NM_004500","Homo sapiens","HNRNPC","3183","heterogeneous nuclear ribonucleoprotein C (C1/C2)"
"36","200015_s_at","NM_004404","Homo sapiens","SEPT2","4735","septin 2"
"37","200016_x_at","NM_002136","Homo sapiens","HNRNPA1","3178","heterogeneous nuclear ribonucleoprotein A1"
"38","200017_at","NM_002954","Homo sapiens","RPS27A","6233","ribosomal protein S27a"
"39","200018_at","NM_001017","Homo sapiens","RPS13","6207","ribosomal protein S13"
"40","200019_s_at","NM_001997","Homo sapiens","FAU","2197","Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed"
"41","200020_at","NM_007375","Homo sapiens","TARDBP","23435","TAR DNA binding protein"
"42","200021_at","NM_005507","Homo sapiens","CFL1","1072","cofilin 1 (non-muscle)"
"43","200022_at","NM_000979","Homo sapiens","RPL18","6141","ribosomal protein L18"
"44","200023_s_at","NM_003754","Homo sapiens","EIF3F","8665","eukaryotic translation initiation factor 3, subunit F"
"45","200024_at","NM_001009","Homo sapiens","RPS5","6193","ribosomal protein S5"
"46","200025_s_at","NM_000988","Homo sapiens","RPL27","6155","ribosomal protein L27"
"47","200026_at","NM_000995","Homo sapiens","RPL34","6164","ribosomal protein L34"
"48","200027_at","NM_004539","Homo sapiens","NARS","4677","asparaginyl-tRNA synthetase"
"49","200028_s_at","NM_020151","Homo sapiens","STARD7","56910","StAR-related lipid transfer (START) domain containing 7"
"50","200029_at","NM_000981","Homo sapiens","RPL19","6143","ribosomal protein L19"
"51","200030_s_at","NM_002635","Homo sapiens","SLC25A3","5250","solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3"
"52","200031_s_at","NM_001015","Homo sapiens","RPS11","6205","ribosomal protein S11"
"53","200032_s_at","NM_000661","Homo sapiens","RPL9","6133","ribosomal protein L9"
"54","200033_at","NM_004396","Homo sapiens","DDX5","1655","DEAD (Asp-Glu-Ala-Asp) box polypeptide 5"
"55","200034_s_at","NM_000970","Homo sapiens","RPL6","6128","ribosomal protein L6"
"56","200035_at","NM_015343","Homo sapiens","CTDNEP1","23399","CTD nuclear envelope phosphatase 1"
"57","200036_s_at","NM_007104","Homo sapiens","RPL10A","4736","ribosomal protein L10a"
"58","200037_s_at","NM_016587","Homo sapiens","CBX3","11335","chromobox homolog 3"
"59","200038_s_at","NM_000985","Homo sapiens","RPL17","6139","ribosomal protein L17"
"60","200039_s_at","NM_002794","Homo sapiens","PSMB2","5690","proteasome (prosome, macropain) subunit, beta type, 2"
"61","200040_at","NM_006559","Homo sapiens","KHDRBS1","10657","KH domain containing, RNA binding, signal transduction associated 1"
"62","200041_s_at","NM_004640","Homo sapiens","ATP6V1G2 /// BAT1","534 /// 7919","ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G2 /// HLA-B associated transcript 1"
"63","200042_at","NM_014306","Homo sapiens","C22orf28","51493","chromosome 22 open reading frame 28"
"64","200043_at","NM_004450","Homo sapiens","ERH","2079","enhancer of rudimentary homolog (Drosophila)"
"65","200044_at","NM_003769","Homo sapiens","SRSF9","8683","serine/arginine-rich splicing factor 9"
